,Hours,SE1,SE2,SE3,SE4,SE
01-01-2019,00 - 01,1126,1873,9212,2386,14597
01-01-2019,01 - 02,1140,1830,9057,2348,14375
01-01-2019,02 - 03,1127,1738,8949,2339,14153
01-01-2019,03 - 04,1057,1742,8812,2285,13896
01-01-2019,04 - 05,1093,1795,8804,2263,13955
01-01-2019,05 - 06,1155,1812,8898,2301,14166
01-01-2019,06 - 07,1135,1711,9107,2399,14352
01-01-2019,07 - 08,1131,1740,9426,2510,14807
01-01-2019,08 - 09,1118,1856,9520,2570,15064
01-01-2019,09 - 10,1219,1947,9679,2647,15492
01-01-2019,10 - 11,1341,1844,9876,2749,15810
01-01-2019,11 - 12,1272,1892,10047,2834,16045
01-01-2019,12 - 13,1317,1957,10175,2805,16254
01-01-2019,13 - 14,1342,1940,10215,2824,16321
01-01-2019,14 - 15,1446,2056,10474,2898,16874
01-01-2019,15 - 16,1399,2089,10966,2982,17436
01-01-2019,16 - 17,1432,2131,11395,3215,18173
01-01-2019,17 - 18,1416,2278,11434,3260,18388
01-01-2019,18 - 19,1437,2202,11379,3182,18200
01-01-2019,19 - 20,1278,2127,11252,3068,17725
01-01-2019,20 - 21,1289,2069,11078,2988,17424
01-01-2019,21 - 22,1315,2012,10802,2901,17030
01-01-2019,22 - 23,1288,2095,10541,2821,16745
01-01-2019,23 - 00,1282,2024,10343,2686,16335
02-01-2019,00 - 01,1222,1915,10239,2632,16008
02-01-2019,01 - 02,1226,1937,10193,2582,15938
02-01-2019,02 - 03,1222,1883,10070,2596,15771
02-01-2019,03 - 04,1237,1928,10106,2622,15893
02-01-2019,04 - 05,1261,2012,10269,2721,16263
02-01-2019,05 - 06,1297,2031,10670,2921,16919
02-01-2019,06 - 07,1322,2077,11616,3185,18200
02-01-2019,07 - 08,1434,2202,12592,3529,19757
02-01-2019,08 - 09,1429,2271,13094,3690,20484
02-01-2019,09 - 10,1382,2228,13220,3763,20593
02-01-2019,10 - 11,1400,2343,13394,3754,20891
