Date,Hours,SE1,SE2,SE3,SE4,SE,TotalPowerProduction,Date,Tid (UTC),Lufttemperatur
2015-01-01,06 - 07,1045.0,1862.0,9353.0,2395.0,14654.0,14794.0,2015-01-01,06:00:00,2.4
2015-01-01,18 - 19,1275.0,2145.0,10858.0,3154.0,17433.0,18185.0,2015-01-01,18:00:00,6.6
2015-01-02,06 - 07,1243.0,1983.0,9501.0,2825.0,15551.0,15590.0,2015-01-02,06:00:00,5.2
2015-01-02,18 - 19,1351.0,2020.0,11808.0,3497.0,18676.0,19910.0,2015-01-02,18:00:00,4.7
2015-01-03,06 - 07,1131.0,1880.0,10042.0,2880.0,15933.0,16044.0,2015-01-03,06:00:00,2.9
2015-01-03,18 - 19,1192.0,2124.0,12046.0,3503.0,18864.0,19234.0,2015-01-03,18:00:00,1.2
2015-01-04,06 - 07,1156.0,1925.0,10148.0,2741.0,15969.0,15125.0,2015-01-04,06:00:00,-0.1
2015-01-04,18 - 19,1387.0,2296.0,12658.0,3647.0,19989.0,18704.0,2015-01-04,18:00:00,-0.2
2015-01-05,06 - 07,1248.0,2246.0,11679.0,3060.0,18233.0,15320.0,2015-01-05,06:00:00,-2.0
2015-01-05,18 - 19,1445.0,2689.0,13773.0,3683.0,21591.0,19223.0,2015-01-05,18:00:00,-1.9
2015-01-06,06 - 07,1390.0,1999.0,11028.0,3054.0,17472.0,16373.0,2015-01-06,06:00:00,-2.8
2015-01-06,18 - 19,1457.0,2280.0,12986.0,3669.0,20391.0,20168.0,2015-01-06,18:00:00,0.8
2015-01-07,06 - 07,1282.0,2244.0,12057.0,3686.0,19269.0,16824.0,2015-01-07,06:00:00,0.1
2015-01-07,18 - 19,1444.0,2450.0,13777.0,3890.0,21561.0,20138.0,2015-01-07,18:00:00,0.9
2015-01-08,06 - 07,1080.0,2088.0,11628.0,3264.0,18060.0,17036.0,2015-01-08,06:00:00,2.6
2015-01-08,18 - 19,1281.0,2272.0,13163.0,3901.0,20616.0,20235.0,2015-01-08,18:00:00,4.2
2015-01-09,06 - 07,1268.0,2203.0,11848.0,3330.0,18650.0,16368.0,2015-01-09,06:00:00,1.6
2015-01-09,18 - 19,1295.0,2354.0,13358.0,3728.0,20734.0,19587.0,2015-01-09,18:00:00,-1.7
2015-01-10,06 - 07,1200.0,2138.0,9909.0,2838.0,16084.0,13518.0,2015-01-10,06:00:00,-2.9
2015-01-10,18 - 19,1399.0,2339.0,12689.0,3395.0,19821.0,18930.0,2015-01-10,18:00:00,1.2
2015-01-11,06 - 07,1260.0,2169.0,10695.0,2999.0,17123.0,14486.0,2015-01-11,06:00:00,-0.2
2015-01-11,18 - 19,1500.0,2531.0,13312.0,3797.0,21140.0,18942.0,2015-01-11,18:00:00,-3.3
2015-01-12,06 - 07,1527.0,2794.0,12713.0,3285.0,20319.0,19332.0,2015-01-12,06:00:00,-6.6
2015-01-12,18 - 19,1747.0,2819.0,13727.0,3797.0,22090.0,20164.0,2015-01-12,18:00:00,3.1
2015-01-13,06 - 07,1456.0,2375.0,11713.0,3251.0,18795.0,17720.0,2015-01-13,06:00:00,3.2
2015-01-13,18 - 19,1653.0,2563.0,13081.0,3512.0,20809.0,20858.0,2015-01-13,18:00:00,2.9
2015-01-14,06 - 07,1391.0,2316.0,11770.0,3406.0,18882.0,17589.0,2015-01-14,06:00:00,1.8
2015-01-14,18 - 19,1615.0,2693.0,13447.0,3925.0,21681.0,21554.0,2015-01-14,18:00:00,1.8
2015-01-15,06 - 07,1385.0,2322.0,11953.0,3365.0,19025.0,17238.0,2015-01-15,06:00:00,0.8
2015-01-15,18 - 19,1524.0,2314.0,13576.0,3927.0,21341.0,20592.0,2015-01-15,18:00:00,2.2
2015-01-16,06 - 07,1216.0,2259.0,11444.0,3326.0,18245.0,17293.0,2015-01-16,06:00:00,4.3
2015-01-16,18 - 19,1346.0,2400.0,12564.0,3720.0,20028.0,20013.0,2015-01-16,18:00:00,5.3
2015-01-17,06 - 07,1193.0,1982.0,9961.0,2603.0,15739.0,14151.0,2015-01-17,06:00:00,2.5
2015-01-17,18 - 19,1353.0,2336.0,11628.0,3257.0,18574.0,19034.0,2015-01-17,18:00:00,2.8
2015-01-18,06 - 07,1145.0,2031.0,9792.0,2761.0,15729.0,13930.0,2015-01-18,06:00:00,3.4
2015-01-18,18 - 19,1410.0,2541.0,12603.0,3773.0,20326.0,19195.0,2015-01-18,18:00:00,2.2
2015-01-19,06 - 07,1236.0,2556.0,11882.0,3579.0,19253.0,18842.0,2015-01-19,06:00:00,0.6
2015-01-19,18 - 19,1510.0,2885.0,13788.0,4083.0,22265.0,21335.0,2015-01-19,18:00:00,-0.4
2015-01-20,06 - 07,1397.0,2544.0,12326.0,3460.0,19727.0,20023.0,2015-01-20,06:00:00,0.6
2015-01-20,18 - 19,1593.0,2550.0,13865.0,4101.0,22108.0,21880.0,2015-01-20,18:00:00,0.5
2015-01-21,06 - 07,1459.0,2535.0,12458.0,3558.0,20009.0,19312.0,2015-01-21,06:00:00,0.2
2015-01-21,18 - 19,1683.0,2549.0,13916.0,3988.0,22135.0,20947.0,2015-01-21,18:00:00,0.0
2015-01-22,06 - 07,1462.0,2397.0,12339.0,3558.0,19756.0,19238.0,2015-01-22,06:00:00,-0.8
2015-01-22,18 - 19,1437.0,2597.0,14047.0,4035.0,22115.0,21051.0,2015-01-22,18:00:00,-0.4
2015-01-23,06 - 07,1485.0,2666.0,12605.0,3718.0,20474.0,19625.0,2015-01-23,06:00:00,-2.9
2015-01-23,18 - 19,1620.0,2752.0,13991.0,3992.0,22354.0,21361.0,2015-01-23,18:00:00,-6.7
2015-01-24,06 - 07,1362.0,2372.0,10897.0,2905.0,17536.0,16096.0,2015-01-24,06:00:00,-2.5
2015-01-24,18 - 19,1416.0,2449.0,12947.0,3715.0,20528.0,20095.0,2015-01-24,18:00:00,-0.3
2015-01-25,06 - 07,1164.0,2074.0,10267.0,2890.0,16395.0,14532.0,2015-01-25,06:00:00,-0.3
2015-01-25,18 - 19,1394.0,1990.0,13033.0,3752.0,20169.0,20090.0,2015-01-25,18:00:00,0.0
2015-01-26,06 - 07,1311.0,2367.0,12203.0,3555.0,19437.0,19214.0,2015-01-26,06:00:00,-2.3
2015-01-26,18 - 19,1240.0,2585.0,13896.0,4000.0,21720.0,20675.0,2015-01-26,18:00:00,1.4
2015-01-27,06 - 07,1235.0,2388.0,11992.0,3742.0,19356.0,18534.0,2015-01-27,06:00:00,0.5
2015-01-27,18 - 19,1442.0,2676.0,13920.0,4034.0,22071.0,20914.0,2015-01-27,18:00:00,-0.9
2015-01-28,06 - 07,1350.0,2423.0,11865.0,3558.0,19196.0,18818.0,2015-01-28,06:00:00,0.3
2015-01-28,18 - 19,1349.0,2375.0,13346.0,3946.0,21016.0,21004.0,2015-01-28,18:00:00,2.7
2015-01-29,06 - 07,1251.0,2351.0,12030.0,3541.0,19174.0,19131.0,2015-01-29,06:00:00,2.3
2015-01-29,18 - 19,1374.0,2590.0,13671.0,4187.0,21821.0,21645.0,2015-01-29,18:00:00,1.3
2015-01-30,06 - 07,1217.0,2264.0,12085.0,3660.0,19226.0,19871.0,2015-01-30,06:00:00,0.7
2015-01-30,18 - 19,1225.0,2513.0,13430.0,4066.0,21234.0,20615.0,2015-01-30,18:00:00,0.7
2015-01-31,06 - 07,1236.0,2208.0,10730.0,2943.0,17117.0,15297.0,2015-01-31,06:00:00,0.2
2015-01-31,18 - 19,1425.0,2556.0,12648.0,3627.0,20256.0,20405.0,2015-01-31,18:00:00,0.4
