Date,Hours,SE1,SE2,SE3,SE4,SE,TotalPowerProduction
01/01/2015,00 - 01,966.0,1837.0,9560.0,2343.0,14706.0,15492.0
01/01/2015,01 - 02,1120.0,1819.0,9520.0,2267.0,14725.0,15070.0
01/01/2015,02 - 03,1092.0,1835.0,9277.0,2281.0,14485.0,14823.0
01/01/2015,03 - 04,1059.0,1794.0,9132.0,2313.0,14297.0,14645.0
01/01/2015,04 - 05,1019.0,1775.0,9083.0,2372.0,14248.0,14688.0
01/01/2015,05 - 06,990.0,1752.0,9102.0,2424.0,14267.0,14768.0
01/01/2015,06 - 07,1045.0,1862.0,9353.0,2395.0,14654.0,14794.0
01/01/2015,07 - 08,1066.0,1872.0,9567.0,2489.0,14994.0,15293.0
01/01/2015,08 - 09,1033.0,1908.0,9629.0,2593.0,15162.0,15345.0
01/01/2015,09 - 10,1010.0,1883.0,9733.0,2541.0,15166.0,15761.0
01/01/2015,10 - 11,1192.0,1893.0,10024.0,2561.0,15671.0,16418.0
01/01/2015,11 - 12,1179.0,2002.0,10248.0,2704.0,16133.0,17049.0
01/01/2015,12 - 13,1098.0,1938.0,10425.0,2717.0,16178.0,17388.0
01/01/2015,13 - 14,1107.0,1941.0,10528.0,2698.0,16273.0,17634.0
01/01/2015,14 - 15,1196.0,1917.0,10642.0,2776.0,16530.0,18195.0
01/01/2015,15 - 16,1178.0,2125.0,10902.0,2882.0,17087.0,18346.0
01/01/2015,16 - 17,1260.0,2074.0,11095.0,3085.0,17514.0,18298.0
01/01/2015,17 - 18,1291.0,2067.0,11079.0,3190.0,17628.0,18253.0
01/01/2015,18 - 19,1275.0,2145.0,10858.0,3154.0,17433.0,18185.0
01/01/2015,19 - 20,1260.0,2012.0,10580.0,3022.0,16872.0,18021.0
01/01/2015,20 - 21,1197.0,2005.0,10334.0,2921.0,16456.0,17409.0
01/01/2015,21 - 22,1171.0,1871.0,10042.0,2803.0,15887.0,17198.0
01/01/2015,22 - 23,1101.0,1875.0,9611.0,2664.0,15250.0,16418.0
01/01/2015,23 - 00,1136.0,1825.0,9279.0,2551.0,14791.0,15779.0
02/01/2015,00 - 01,1125.0,1756.0,8795.0,2523.0,14199.0,15130.0
02/01/2015,01 - 02,1110.0,1731.0,8579.0,2502.0,13920.0,14955.0
02/01/2015,02 - 03,1120.0,1594.0,8471.0,2462.0,13648.0,14902.0
02/01/2015,03 - 04,1055.0,1621.0,8460.0,2460.0,13596.0,14801.0
02/01/2015,04 - 05,1119.0,1699.0,8482.0,2498.0,13798.0,14922.0
02/01/2015,05 - 06,1127.0,1916.0,8793.0,2587.0,14422.0,15218.0
